,State,1,2,3,4,5
AK,Alaska,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Transportation and Warehousing,"Professional, Scientific, and Technical Services"
AL,Alabama,Manufacturing,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
AR,Arkansas,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
AZ,Arizona,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Professional, Scientific, and Technical Services"
CA,California,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Professional, Scientific, and Technical Services"
CO,Colorado,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Professional, Scientific, and Technical Services"
CT,Connecticut,Health Care and Social Assistance,Retail Trade,Manufacturing,Accommodation and Food Services,Finance and Insurance
DC,District of Columbia,"Professional, Scientific, and Technical Services",Other Services (except Public Administration),Accommodation and Food Services,Health Care and Social Assistance,Educational Services
DE,Delaware,Health Care and Social Assistance,Retail Trade,Finance and Insurance,Accommodation and Food Services,"Professional, Scientific, and Technical Services"
FL,Florida,Administrative and Support and Waste Management and Remediation Services,Retail Trade,Health Care and Social Assistance,Accommodation and Food Services,"Professional, Scientific, and Technical Services"
GA,Georgia,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,Manufacturing
HI,Hawaii,Accommodation and Food Services,Retail Trade,Health Care and Social Assistance,Administrative and Support and Waste Management and Remediation Services,Transportation and Warehousing
IA,Iowa,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Finance and Insurance
ID,Idaho,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Manufacturing,Administrative and Support and Waste Management and Remediation Services
IL,Illinois,Health Care and Social Assistance,Retail Trade,Manufacturing,Administrative and Support and Waste Management and Remediation Services,Accommodation and Food Services
IN,Indiana,Manufacturing,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
KS,Kansas,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
KY,Kentucky,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
LA,Louisiana,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Construction,Manufacturing
MA,Massachusetts,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,"Professional, Scientific, and Technical Services",Manufacturing
MD,Maryland,Health Care and Social Assistance,Retail Trade,"Professional, Scientific, and Technical Services",Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
ME,Maine,Health Care and Social Assistance,Retail Trade,Accommodation and Food Services,Manufacturing,Finance and Insurance
MI,Michigan,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services
