,variable,relative_importance,scaled_importance,percentage
0,P_EMO,768.4451293945312,1.0,0.7210133214741464
1,HAP,86.01426696777344,0.11193286765386266,0.08070508868923756
2,P_2,57.005489349365234,0.07418290150954651,0.0534868602139876
3,P_3,52.862606048583984,0.0687916469588859,0.049599693863503186
4,P_1,34.736305236816406,0.045203364440849055,0.0325922279373029
5,R_3,11.450481414794922,0.014900844545422414,0.010743707418464933
6,employed,7.767081260681152,0.010107528779316937,0.00728766289707083
7,income,7.087769031524658,0.00922352001516258,0.006650280801815642
8,gender,4.923351287841797,0.006406900245071467,0.004619460426052501
9,M_3,3.5193045139312744,0.00457977333619667,0.003302077584729894
10,E_2,3.28341007232666,0.0042727970374588815,0.0030807435839631213
11,SAD,2.588686227798462,0.0033687326899164865,0.002428901145915222
12,M_1,2.5530331134796143,0.0033223362551483473,0.002395448698378487
13,M_2,2.1389060020446777,0.0027834205985923185,0.0020068833308506044
14,N_EMO,1.6322029829025269,0.002124033220418174,0.0015314562471751357
15,user_followed_by,1.6072158813476562,0.002091516778320925,0.0015080114592560762
16,A_1,1.323328971862793,0.0017220864850890037,0.0012416472964797607
17,level_0,1.1140447854995728,0.0014497388855562717,0.0010452810491451549
18,born,0.9165756106376648,0.0011927665041742768,0.0008600005389178016
19,avg_number_of_faces_over_images_with_faces,0.7466291785240173,0.0009716102685331573,0.0007005439468934791
20,N_3,0.7167165279388428,0.0009326840662046409,0.0006724776364602208
21,age,0.7016239762306213,0.0009130436896430598,0.0006583166633205523
22,avg_comments,0.6957210898399353,0.0009053620918751919,0.0006527781289997134
23,N_1,0.6475429534912109,0.0008426664816021661,0.0006075737587949105
24,Swimwear,0.6424224376678467,0.0008360030054117467,0.0006027693036942923
25,Plant,0.6232569217681885,0.0008110623620703554,0.0005847867675990138
26,City,0.6142873764038086,0.000799390031774701,0.0005763708619632007
27,avg_posts_night,0.579867959022522,0.0007545990427181288,0.0005440759621714095
28,avg_posts_early_day,0.4913071095943451,0.0006393522332316075,0.0004609814772742344
29,education,0.4715920388698578,0.0006136964382107956,0.000442483307291219
30,E_1,0.45888954401016235,0.0005971663121500007,0.000430564866195739
31,E_3,0.3883219361305237,0.0005053346312917463,0.00036435300096357507
32,index,0.3783585727214813,0.0004923690166656341,0.0003550046200970482
33,R_1,0.3724077641963959,0.00048462505643027655,0.00034942112160638933
34,R_2,0.35739389061927795,0.0004650870660093501,0.00033533397023806713
35,avg_number_of_faces_over_all_images,0.3211793899536133,0.00041796008285806307,0.0003013547875851015
36,ratio_male,0.3186084032058716,0.00041461438301640044,0.0002989424934296088
37,avg_likes,0.3027068078517914,0.0003939211744243839,0.0002840224143707216
38,N_2,0.30008944869041443,0.0003905151288119415,0.0002815666101106021
39,Collage,0.29142266511917114,0.00037923679124466205,0.00027343477848051125
40,end_q,0.2595635652542114,0.0003377776178485577,0.0002435421621646135
41,Tattoo,0.2512914836406708,0.00032701291742022866,0.00023578066975410983
42,avg_posts_day,0.24725255370140076,0.0003217569404027774,0.0002319910403071655
43,avg_posts_late_day,0.2395012080669403,0.0003116698888515914,0.00022471814176436395
44,Drawing,0.2087029069662094,0.0002715911637447027,0.00019582084705459688
45,Person,0.18614289164543152,0.00024223315956481645,0.00017465333494900523
46,Sunrise,0.15727169811725616,0.00020466223559927142,0.00014756419826975498
47,ratio_female,0.15617334842681885,0.00020323292119747057,0.00014653364354548173
48,Sport,0.15359583497047424,0.0001998787279600491,0.00014411522553850234
49,Toy,0.13321959972381592,0.00017336254031407748,0.00012499670101104863
50,imagecount,0.1322651505470276,0.00017212048783657612,0.00012410116462880017
51,H_1,0.13046999275684357,0.00016978439678528865,0.00012241681186064536
52,Cloud,0.12600192427635193,0.000163969969301036,0.0001182245321877538
53,A_2,0.12301618605852127,0.00016008454130673905,0.00011542308684423712
54,user_follows,0.10181085020303726,0.00013248942092099076,9.552663743842982e-05
55,depressed_flt_pct,0.09092521667480469,0.00011832362936107871,8.53129130145072e-05
56,Dog,0.08762473613023758,0.0001140286180215344,8.221615262281323e-05
57,Sky,0.08128203451633453,0.00010577467591001298,7.626495040572984e-05
58,Outdoors,0.07995593547821045,0.00010404898465712036,7.502070402364285e-05
59,CONFUSED,0.07852604240179062,0.00010218822320295321,7.367907022710274e-05
60,Book,0.07833128422498703,0.00010193477872220409,7.349633338022852e-05
61,Animal,0.07806781679391861,0.00010159192089021286,7.324912831599111e-05
62,percentage_animals,0.07747006416320801,0.00010081404800398405,7.268827160260658e-05
63,insta_user_id,0.07674058526754379,9.986475589741688e-05,7.200381934780139e-05
64,avg_posts_early_night,0.07231766730546951,9.410908409615352e-05,6.785390330505742e-05
65,H_2,0.06255194544792175,8.140066617014974e-05,5.869096468554784e-05
66,Laptop,0.054337386041879654,7.07108210636885e-05,5.098344395929408e-05
67,happy_flt_pct,0.051908526569604874,6.755007557989773e-05,4.8704504359691686e-05
68,Teddy Bear,0.04948209971189499,6.439249572820201e-05,4.6427847223000713e-05
69,Coffee Cup,0.04761410877108574,6.196162477937958e-05,4.467515688611525e-05
70,Downtown,0.04655061289668083,6.0577666662236136e-05,4.367730464729255e-05
71,happy_to_depressed_flt_ratio,0.044333476573228836,5.7692442670773134e-05,4.159701971401091e-05
72,SURPRISED,0.042170628905296326,5.4877866085927514e-05,3.956767250202801e-05
73,Dusk,0.04129030182957649,5.373227085466688e-05,3.8741683079271844e-05
74,H_3,0.040716782212257385,5.298593309367282e-05,3.8203563611275936e-05
75,start_q,0.03802461549639702,4.94825382345219e-05,3.567756924744408e-05
76,Pool,0.037274397909641266,4.850625826597442e-05,3.497365838463299e-05
77,Woman,0.03695152327418327,4.808609211082891e-05,3.467071298954051e-05
78,avg_posts_late_night,0.03199998661875725,4.164251342704259e-05,3.002480692056372e-05
79,Coast,0.03095068223774433,4.027702311306314e-05,2.904027021384062e-05
80,Sketch,0.029682934284210205,3.862726582390835e-05,2.785077323116094e-05
81,user_id,0.029667265713214874,3.8606875856692765e-05,2.7836071793174083e-05
82,A_3,0.02892594411969185,3.7642172502912484e-05,2.7140507823827712e-05
83,LON,0.025418885052204132,3.307833452237771e-05,2.384991984281248e-05
84,Festival,0.020602665841579437,2.6810848365728558e-05,1.9330978831713636e-05
85,ANGRY,0.01927417516708374,2.5082044806855805e-05,1.8084488435554472e-05
86,Beard,0.0161844864487648,2.106134300248189e-05,1.5185508872925739e-05
87,Alcohol,0.015653887763619423,2.037085949904236e-05,1.4687661068687699e-05
88,Pet,0.015638267621397972,2.0350532553598957e-05,1.4673005070238129e-05
89,Beach,0.01355515606701374,1.7639718892738692e-05,1.2718472308723775e-05
90,HAPPY,0.01352826226502657,1.760472120590533e-05,1.2693238510296142e-05
91,avg_posts_whole_date,0.01310706790536642,1.7056608733656317e-05,1.2298042116138476e-05
92,TV,0.010695244185626507,1.3918032370188149e-05,1.0035086747614044e-05
93,participate,0.009995995089411736,1.300807918099204e-05,9.378998376285765e-06
94,Cat,0.00877726636826992,1.1422112044858234e-05,8.235494943713091e-06
95,Cocktail,0.00769328698515892,1.0011498141995602e-05,7.218423528292496e-06
96,Bikini,0.005941050127148628,7.731261348262648e-06,5.574342423895539e-06
97,Sandwich,0.0047699459828436375,6.207269459306672e-06,4.475523970139733e-06
98,Tree,0.004396268166601658,5.720991647205233e-06,4.124911189677293e-06
99,user_posted_photos,0.004059032071381807,5.282136506714508e-06,3.8084907871860726e-06
100,Sea Life,0.003941383678466082,5.129037230766956e-06,3.6981041697198408e-06
101,Performer,0.0034092161804437637,4.436512185495838e-06,3.1987843866248787e-06
102,Sunset,0.0032107862643897533,4.1782895636537864e-06,3.0126024363707786e-06
103,Canine,0.003056213492527604,3.977139519298714e-06,2.867570574775656e-06
104,Money,0.002993657486513257,3.895733568995358e-06,2.808875800159674e-06
105,DISGUSTED,0.0029645643662661314,3.857873845334869e-06,2.7815784350531314e-06
106,Food,0.0027161301113665104,3.5345791227886206e-06,2.5484786333349983e-06
107,Sunlight,0.0023098585661500692,3.0058861430614303e-06,2.167283951981833e-06
108,CALM,0.0019096878822892904,2.4851323916828784e-06,1.7918135600302617e-06
109,Crowd,0.0018294266192242503,2.3806860753554145e-06,1.7165063745792575e-06
110,Club,0.0017323162173852324,2.254313484620755e-06,1.6253900531903674e-06
111,Selfie,0.0013426713412627578,1.7472572730347937e-06,1.2597957699006762e-06
112,Beer Bottle,0.0009956640424206853,1.2956865810382362e-06,9.342072853838596e-07
113,Pizza,0.0009246079716831446,1.2032192492542132e-06,8.675371073664091e-07
114,Light,0.0004457728355191648,5.800971578418299e-07,4.1825777855324997e-07
115,Musical Instrument,0.00021844569710083306,2.842697399526099e-07,2.0496226939782313e-07
116,Child,0.00012168422836111858,1.5835122601010602e-07,1.1417334342504979e-07
117,Breakfast,2.3230695660458878e-05,3.023078001517515e-08,2.1796795109495682e-08
118,Cafeteria,1.689783857727889e-06,2.1989648877848878e-09,1.5854829775468057e-09
119,Airplane,0.0,0.0,0.0
