,variable,relative_importance,scaled_importance,percentage
0,E_3,286.62689208984375,1.0,0.374178800923963
1,E_1,180.24949645996094,0.6288645672628003,0.23530778972196148
2,E_2,96.07572174072266,0.3351943742620198,0.12542262903782067
3,M_2,36.338077545166016,0.12677832592824465,0.04743776197897795
4,A_1,29.998441696166992,0.1046602483020467,0.03916164621406407
5,ratio_female,20.1794376373291,0.07040315544085032,0.026343368284120757
6,M_3,14.116594314575195,0.04925076712672976,0.018428592988065078
7,Collage,12.610877990722656,0.04399753944500697,0.016462946553137472
8,avg_number_of_faces_over_images_with_faces,12.588078498840332,0.04391799529715647,0.016433182819274254
9,level_0,12.312812805175781,0.04295763288434327,0.016073835563195367
10,income,9.88912582397461,0.034501737613911135,0.01290981881016646
11,avg_number_of_faces_over_all_images,8.6810884475708,0.030287068963681527,0.011332779148331728
12,M_1,6.1455888748168945,0.021441075643699712,0.008022795974879546
13,R_2,5.930344581604004,0.020690119263984227,0.0077418040171714055
14,R_3,4.731505393981934,0.016507541771407945,0.006176772186227658
15,HAP,3.885303258895874,0.013555264234166899,0.005072092517348052
16,avg_posts_late_day,2.5742075443267822,0.00898103986530298,0.0033605147278493795
17,H_3,2.0573575496673584,0.007177824574194091,0.0026857897924145004
18,avg_posts_early_night,1.684847354888916,0.0058781900839953195,0.002199494117232498
19,Person,1.619329810142517,0.005649608793982021,0.0021139638442216695
20,P_2,1.5925250053405762,0.005556090685452488,0.0020789713505074115
21,ratio_male,1.2641459703445435,0.004410423464202704,0.0016502869634022791
22,P_EMO,1.1041263341903687,0.003852137969818541,0.0014413883665403708
23,avg_posts_day,0.9279377460479736,0.003237441327581746,0.0012113819140162207
24,Pet,0.8569347262382507,0.0029897220040666765,0.0011186905945776567
25,SURPRISED,0.8530099987983704,0.0029760291945355663,0.0011135670355260257
26,avg_posts_late_night,0.7739648818969727,0.0027002521509892794,0.0010103771120495205
27,avg_posts_whole_date,0.748969554901123,0.002613047050261973,0.0009777468120249235
28,born,0.7432902455329895,0.0025932327567505555,0.000970332723437666
29,P_3,0.7392132878303528,0.0025790088377284745,0.000965010434473544
30,user_posted_photos,0.7244746685028076,0.0025275879147994237,0.0009457698151895484
31,depressed_flt_pct,0.7109598517417908,0.0024804366630013872,0.0009281268163296953
32,education,0.6429686546325684,0.0022432251556878642,0.0008393672989577552
33,index,0.5404404997825623,0.00188551917038252,0.0007055213022928768
34,user_followed_by,0.5177242755889893,0.0018062655315214025,0.0006758662707349631
35,LON,0.4016825258731842,0.0014014125574346877,0.0005243788703406959
36,Dog,0.3777922987937927,0.0013180629913656986,0.0004931912296514689
37,employed,0.36906325817108154,0.0012876086241600734,0.00048179585104757
38,insta_user_id,0.35451358556747437,0.0012368469091740052,0.00046280189340123905
