,variable,relative_importance,scaled_importance,percentage
0,R_2,525.4635620117188,1.0,0.3807964970090725
1,R_3,212.82705688476562,0.4050272412229018,0.1542329546509296
2,HAP,197.75440979003906,0.37634276491588353,0.14331000655467732
3,P_EMO,106.5501480102539,0.2027736187878193,0.07721548372025464
4,R_1,95.13175201416016,0.18104348025570335,0.06894072308770301
5,LON,38.6070442199707,0.07347235281579753,0.02797801457927036
6,P_2,25.387407302856445,0.04831430595427331,0.018397918462811847
7,P_3,18.032499313354492,0.034317316398339216,0.013067913871239574
8,income,11.115989685058594,0.02115463466677198,0.008055610776613457
9,DISGUSTED,9.35189437866211,0.017797417470506824,0.006777194228577066
10,level_0,7.471879005432129,0.014219594935995759,0.005414771940515131
11,user_followed_by,6.412435054779053,0.012203386720535428,0.004647006914826924
12,Coast,6.396093368530273,0.012172287159252403,0.00463516431083183
13,E_2,5.910849571228027,0.011248828650646199,0.004283514545621364
14,E_1,5.506739616394043,0.010479774459168366,0.003990661403496461
15,P_1,5.318699836730957,0.010121919427426141,0.003854391460971951
16,employed,5.086756706237793,0.009680512739576697,0.0036863053404825054
17,avg_posts_early_night,4.801205158233643,0.009137084862463913,0.0034793699085008804
18,happy_flt_pct,4.688608169555664,0.008922803612881343,0.0033977723592851115
19,avg_posts_late_day,4.277856826782227,0.008141110318676717,0.0031001062911165077
20,avg_likes,4.244846343994141,0.008078288678558216,0.0030761840306230176
21,Drawing,4.169852256774902,0.007935568816248208,0.0030218368070017497
22,N_EMO,2.9133365154266357,0.005544316915664008,0.0021112564597929994
23,ratio_male,2.883052110671997,0.005486683224302621,0.002089309752012881
24,E_3,2.861060380935669,0.005444831169609934,0.002073372636193274
25,Money,2.8294677734375,0.005384707861768725,0.0020504778911787434
26,Musical Instrument,2.805971384048462,0.005339992317080749,0.0020334503683997096
27,H_2,2.4827840328216553,0.004724940437956162,0.001799240767350219
28,avg_posts_day,2.3281242847442627,0.004430610327823914,0.0016871608924475647
29,depressed_flt_pct,2.253340721130371,0.004288291109099051,0.0016329662325000687
30,user_posted_photos,2.20483660697937,0.0041959838252879625,0.001597815942176384
31,education,2.12410306930542,0.004042341320820355,0.0015393094146834185
32,N_2,2.049903631210327,0.0039011337405820174,0.0014855380627775319
33,Crowd,2.047372817993164,0.003896317396690399,0.0014837040158952126
34,Sport,2.035191774368286,0.003873135877541396,0.0014748765746079235
35,Collage,2.0093483924865723,0.0038239538147875614,0.0014561482173955829
36,Dog,1.96176278591156,0.003733394525780285,0.0014216635573699797
37,born,1.9148043394088745,0.003644028773523541,0.001387633391958031
38,M_2,1.9105709791183472,0.0036359723437411977,0.0013845655317185153
39,avg_posts_early_day,1.826694369316101,0.0034763483167560964,0.001323781261404107
