,variable,relative_importance,scaled_importance,percentage
0,M_2,452.932373046875,1.0,0.3841931368744504
1,M_3,296.0784912109375,0.6536924910427978,0.25114416868500605
2,M_1,124.75025939941406,0.275428003876648,0.10581754879243767
3,P_EMO,64.21554565429688,0.1417773369174719,0.05446987980802936
4,R_2,31.0698299407959,0.06859706170214601,0.0263545203157177
5,E_2,28.585391998291016,0.06311183236030835,0.024247132848401312
6,A_1,24.882600784301758,0.05493667987765273,0.0211062953716629
7,avg_posts_early_night,16.89228630065918,0.03729538294431199,0.014328630164309101
8,R_1,12.092106819152832,0.026697378104835516,0.010256949440420026
9,Book,12.056900024414062,0.026619647306964006,0.010227085801354016
10,HAP,8.91252613067627,0.01967738819533196,0.007559917496260866
11,income,7.740060806274414,0.01708877807564746,0.006565391254234332
12,avg_number_of_faces_over_images_with_faces,6.299901485443115,0.013909143749349805,0.0053437975683003555
13,N_EMO,4.364622116088867,0.009636365991523337,0.003702225678353624
14,Light,4.2123703956604,0.009300219296147447,0.0035730804250071807
15,employed,4.0582499504089355,0.008959946764478541,0.003442350053673093
16,Cat,3.9410438537597656,0.008701175028069583,0.0033429317285276873
17,insta_user_id,3.6286301612854004,0.008011417105992256,0.003077931468760796
18,happy_flt_pct,3.5227458477020264,0.007777641999852038,0.0029881166774096283
19,avg_comments,3.4685051441192627,0.007657887469572194,0.0029421078087664885
20,SURPRISED,3.019348382949829,0.006666223398073049,0.002561117278411543
21,E_3,2.9779539108276367,0.006574831228765892,0.0025260050341996652
22,H_2,2.958512544631958,0.006531907897706784,0.002509514184994966
23,avg_posts_day,2.874656915664673,0.0063467684950997486,0.0024383848971483075
24,age,2.780424118041992,0.006138718015093701,0.0023584533306065486
25,born,2.686220645904541,0.005930732280923841,0.0022785466389706947
26,Animal,2.671372652053833,0.005897950358645189,0.002265952049417685
27,avg_posts_whole_date,2.2949905395507812,0.005066960712285557,0.0019466915304725875
28,LON,2.0185368061065674,0.004456596450653052,0.0017121937701599379
29,percentage_animals,1.9358218908309937,0.004273975555795944,0.0016420320757059665
30,happy_to_depressed_flt_ratio,1.8949347734451294,0.00418370354209373,0.0016073501875897391
31,avg_posts_early_day,1.855828881263733,0.00409736417995379,0.0015741791972134565
32,P_3,1.8322595357894897,0.004045326951270637,0.001554186851091423
33,A_2,1.7933567762374878,0.003959436072483804,0.0015211881649414064
34,CALM,1.6884976625442505,0.0037279244386656018,0.0014322429841218621
35,P_2,1.5710052251815796,0.0034685205091732154,0.0013325817747326235
36,City,1.4989689588546753,0.0033094763104944665,0.0012714780851405517
37,ratio_male,1.451509714126587,0.0032046941232358474,0.0012312214879290969
38,Performer,1.3037116527557373,0.002878380372737926,0.0011058539845200334
39,end_q,1.1739318370819092,0.002591847937882807,0.0009957701895567713
40,R_3,1.147231101989746,0.002532897117228175,0.000973121688848145
41,A_3,1.1467857360839844,0.002531913822740378,0.0009727439138544071
42,avg_posts_late_day,1.0658628940582275,0.002353249530141046,0.000904102318833215
43,user_followed_by,1.0636943578720093,0.0023484617597910695,0.000902262890323823
44,SAD,1.0613006353378296,0.002343176815113618,0.0009002324508499849
45,Dog,1.0057381391525269,0.002220503984705109,0.0008531023913260725
46,depressed_flt_pct,0.9259316325187683,0.0020443043765894417,0.0007854077111680654
47,Sandwich,0.8883540034294128,0.0019613391673760426,0.0007535330471889244
48,Teddy Bear,0.8146153092384338,0.0017985362886704665,0.0006909852985268386
49,avg_likes,0.8140718936920166,0.00179733651674257,0.000690524354386326
50,Toy,0.7006999850273132,0.0015470300352207241,0.0005943583220704415
51,N_1,0.5791765451431274,0.0012787263167942891,0.0004912778748531101
52,avg_posts_late_night,0.5539109706878662,0.0012229440941960241,0.0004698467277712538
53,Collage,0.5502818822860718,0.0012149316653705428,0.0004667684076068089
54,N_2,0.5349847078323364,0.0011811580263815006,0.00045379280729994354
55,Sea Life,0.5216326117515564,0.001151678799734572,0.00044246709074182713
56,Outdoors,0.49732691049575806,0.0010980158188964085,0.0004218501417995796
57,H_1,0.44644102454185486,0.0009856681727972924,0.0003786869472242995
58,imagecount,0.43693363666534424,0.0009646774279482226,0.00037062244711540425
59,user_id,0.41785329580307007,0.0009225511812992565,0.0003544378322705912
60,ratio_female,0.41625937819480896,0.0009190320740260474,0.00035308581540829926
61,Sky,0.387757271528244,0.0008561041219460684,0.00032890932810160703
62,Beach,0.36556321382522583,0.0008071033019037323,0.00031008354934012147
63,index,0.3521328866481781,0.0007774513538950219,0.00029869147442021694
64,Person,0.30654478073120117,0.0006768003326171524,0.0002600220428258552
65,Pizza,0.2829812467098236,0.0006247759346637323,0.00024003462618212598
66,Coast,0.281189501285553,0.000620820056190711,0.00023851480482248177
67,Pet,0.2800603210926056,0.0006183270125044065,0.00023755699454827545
68,HAPPY,0.2782829999923706,0.000614402980560567,0.0002360494084065762
69,Woman,0.27168211340904236,0.0005998293113416412,0.00023045030471358647
70,H_3,0.2598622143268585,0.0005737329230383027,0.00022042425143023312
71,Selfie,0.2553563714027405,0.0005637847647871994,0.0002166022373056183
72,Tree,0.22979159653186798,0.0005073419570035599,0.00019491729792922018
