,variable,relative_importance,scaled_importance,percentage
0,A_1,266.176025390625,1.0,0.295798681595341
1,A_3,198.27073669433594,0.7448857815175688,0.22033623211201206
2,A_2,149.71002197265625,0.5624474321192159,0.1663712088875491
3,M_2,24.89826202392578,0.09354058836586236,0.027669182714274577
4,HAP,22.807729721069336,0.08568664171612748,0.025345995649962857
5,income,16.61769676208496,0.06243123037733305,0.01846707563599012
6,Teddy Bear,15.98561954498291,0.06005657166727661,0.017764654720316533
7,M_3,14.632075309753418,0.054971424598741395,0.0162604749217254
8,Beach,12.087843894958496,0.04541297014717631,0.013433096696863331
9,SAD,11.826333999633789,0.04443050038889913,0.013142483437657648
10,Sky,8.41531753540039,0.03161561047074222,0.009351855895077407
11,P_EMO,8.181071281433105,0.030735567823687443,0.00909154044033093
12,H_3,7.6260247230529785,0.028650306547561722,0.008474722904071122
13,N_1,7.368252754211426,0.02768187985149373,0.00818826356415248
14,P_3,6.733737468719482,0.02529806153216627,0.007483133248132595
15,Sea Life,6.67642879486084,0.025082757866952472,0.007419446707819709
16,M_1,6.408918380737305,0.02407774468542738,0.0071221651337386475
17,ratio_male,5.416741847991943,0.020350224405231977,0.006019569549236951
18,H_1,4.887312889099121,0.01836120620528004,0.00543122058802203
19,R_3,4.885207653045654,0.018353297017927882,0.005428881060830771
20,Beard,4.412429332733154,0.016577110302318628,0.0049034873720863945
21,Airplane,4.300163269042969,0.016155336539916736,0.004778727249236408
22,Cocktail,4.121963024139404,0.015485853837099876,0.004580695148392296
23,E_2,4.067938327789307,0.015282887787581276,0.004520658058536079
24,avg_comments,3.91446590423584,0.014706305342455954,0.004350105731436991
25,avg_posts_whole_date,3.840078830718994,0.014426839626459633,0.004267440141094181
26,Plant,3.1341304779052734,0.011774653533524665,0.003482926991458519
27,user_follows,2.863694429397583,0.010758649000017885,0.0031823941899523246
28,happy_flt_pct,2.709486484527588,0.010179303265766696,0.0030110244855729375
29,E_1,2.650055408477783,0.009956025921525842,0.002944979341516384
30,avg_posts_early_day,2.6088569164276123,0.00980124679748674,0.0028991958806871354
31,E_3,2.4477486610412598,0.009195977201361697,0.0027201579321436036
32,Tree,2.3796112537384033,0.008939990933617028,0.0026444375316382186
33,Canine,2.339339256286621,0.00878869256858704,0.0025996836747348173
34,age,2.2941505908966064,0.008618922713004823,0.0025494659752789664
35,avg_posts_late_day,2.211357831954956,0.00830787757353312,0.0024574592331065978
36,ratio_female,2.1485769748687744,0.008072015395509958,0.0023876915118091406
37,depressed_flt_pct,2.095625638961792,0.007873081867107938,0.002328847236382714
38,avg_posts_late_night,2.0582211017608643,0.007732556298939149,0.0022872799585879496
39,avg_likes,2.043480157852173,0.00767717586455533,0.0022708984991110385
40,happy_to_depressed_flt_ratio,1.977390170097351,0.007428881572618887,0.00219745337490859
41,CONFUSED,1.9141104221343994,0.007191145105293981,0.0021271312413067493
42,N_EMO,1.7977255582809448,0.006753897371646089,0.001997793938163152
43,avg_posts_day,1.7755749225616455,0.0066706793745075705,0.0019731781643245734
44,Crowd,1.6963657140731812,0.006373097320029819,0.0018851537849436213
45,R_2,1.6240284442901611,0.006101332537018795,0.0018047661204249165
46,LON,1.579442024230957,0.005933825264364274,0.0017552176900160778
47,P_1,1.5235289335250854,0.005723764682747967,0.0016930820469188237
48,Food,1.4249905347824097,0.0053535645544754585,0.0015835773370493898
49,R_1,1.2688920497894287,0.004767116226667199,0.0014101066948599141
50,education,1.1133214235305786,0.004182651017862073,0.0012372226566570122
51,end_q,1.106345534324646,0.004156443213475126,0.0012294704226718447
52,avg_posts_night,1.0750466585159302,0.0040388560800630035,0.0011946883036359633
53,imagecount,0.9959489107131958,0.00374169277361324,0.001106787789369611
54,HAPPY,0.9784113764762878,0.003675805794456605,0.0010872985078007789
55,Light,0.9598436951637268,0.0036060486430177703,0.0010666644343733248
56,insta_user_id,0.8430208563804626,0.003167155475942255,0.0009368404141911837
57,Bikini,0.8426558375358582,0.0031657841321329513,0.0009364347725003778
58,Pet,0.7603493928909302,0.002856566032853951,0.0008449684664082322
59,avg_number_of_faces_over_images_with_faces,0.7586889863014221,0.0028503280308134916,0.0008431232736288753
60,user_posted_photos,0.7031289935112,0.002641594007121142,0.0007813800246165877
61,index,0.7025201916694641,0.0026393067919565066,0.0007807034693863635
62,employed,0.6822897791862488,0.0025633029052295696,0.000758221619896414
63,H_2,0.6586822867393494,0.0024746116250428797,0.0007319868561481882
64,Cafeteria,0.6436155438423157,0.0024180071924125458,0.000715243339603683
65,gender,0.6414123773574829,0.0024097300890122695,0.0007127949833304531
66,Sport,0.6405535340309143,0.0024065034899024957,0.0007118405595677452
67,Coast,0.6346617937088013,0.0023843687378583673,0.0007052931290956523
68,N_3,0.5236666798591614,0.0019673698226226706,0.0005819453997422459
69,user_id,0.5161145925521851,0.0019389972924675099,0.0005735528427288253
70,Toy,0.5122308731079102,0.0019244064988805391,0.0005692369052223696
71,P_2,0.4944435954093933,0.0018575812554258995,0.0005494700863111994
72,Performer,0.4937591850757599,0.0018550099857834552,0.0005487095081409383
73,Person,0.4918469190597534,0.001847825769950342,0.0005465844265692071
74,TV,0.46889835596084595,0.0017616100295761688,0.0005210819242337603
