,variable,relative_importance,scaled_importance,percentage
0,M_2,769.23193359375,1.0,0.29275803806433776
1,M_3,629.7876586914062,0.818722717021278,0.23968765635385333
2,E_2,235.23980712890625,0.3058112863696349,0.08952871221550567
3,P_EMO,217.6181640625,0.2829031850586554,0.08282218141992424
4,HAP,98.75951385498047,0.1283871736754207,0.03758637707784156
5,P_2,96.01220703125,0.12481568021064031,0.03654079365813285
6,M_1,80.14903259277344,0.10419358465570681,0.030503509422695217
7,P_3,47.602272033691406,0.06188285997345414,0.018116704675638574
8,R_1,36.88125228881836,0.04794555540162512,0.014036446733284783
9,R_2,31.83364486694336,0.0413836756857204,0.012115403701642342
10,A_2,24.394445419311523,0.031712731042435924,0.009284156921645562
11,avg_posts_whole_date,23.04920196533203,0.02996391719939291,0.008772177612016535
12,happy_flt_pct,22.326095581054688,0.029023880322739747,0.008496974260299427
13,Canine,20.684457778930664,0.02688975441034489,0.007872191745204442
14,born,14.542695999145508,0.01890547618220158,0.005534730115773401
15,income,13.743234634399414,0.017866177981188114,0.005230467213480903
16,N_EMO,12.932357788085938,0.0168120396766001,0.004921859751581248
17,level_0,12.031683921813965,0.015641165422765963,0.004579076902208721
18,H_1,11.542985916137695,0.01500585897703231,0.0043930858335861096
19,depressed_flt_pct,11.060665130615234,0.014378842904949705,0.004209521838488398
20,N_2,10.893519401550293,0.014161553786069708,0.004145908702352362
21,Sea Life,10.108904838562012,0.013141556398126301,0.0038472962682273015
22,R_3,10.102754592895508,0.013133561090862118,0.0038449555777589177
23,avg_posts_early_night,8.898852348327637,0.011568490541927158,0.0033867685944204426
24,education,8.522318840026855,0.011078997722067658,0.003243465636831795
25,Dog,7.626407623291016,0.00991431490325869,0.002902495379830039
26,employed,6.999582290649414,0.009099443204272983,0.0026639351399608295
27,A_3,6.965214729309082,0.009054765442158021,0.0026508553659789487
28,avg_posts_night,6.478394508361816,0.008421900112877027,0.0024655789538197033
29,index,6.440432548522949,0.008372549639786923,0.002451131206140297
30,user_followed_by,5.925727844238281,0.007703434537037566,0.002255242381420178
31,end_q,5.870368957519531,0.007631468093236773,0.0022341736265265905
32,CONFUSED,5.70409631729126,0.0074153139881264095,0.0021708927747949277
