,variable,relative_importance,scaled_importance,percentage
0,A_1,392.06719970703125,1.0,0.2428040360252902
1,A_3,285.4951477050781,0.7281791180655047,0.17680482881564083
2,A_2,203.17494201660156,0.5182145871126742,0.1258245932781366
3,Teddy Bear,109.34886169433594,0.27890336599451804,0.06771886292450766
4,P_EMO,95.95506286621094,0.24474136815809255,0.05942419197113631
5,HAP,63.496604919433594,0.16195337168444815,0.03932293229288796
6,M_3,61.166404724121094,0.15601000228998282,0.03787985821632259
7,M_2,55.27933883666992,0.1409945511330122,0.03423404607266951
8,Animal,22.530088424682617,0.05746486429244279,0.01395270097985069
9,Tattoo,17.1098575592041,0.04364011468439413,0.010595995977977429
10,N_1,15.713071823120117,0.04007749649769624,0.009730977903430079
11,Dog,15.583248138427734,0.03974637039281067,0.009650579148730529
12,income,14.73085880279541,0.03757228050141127,0.009122701348416971
13,N_EMO,14.664827346801758,0.03740386178124546,0.009081808603418498
14,happy_flt_pct,13.809988021850586,0.035223522988329495,0.008552413544595992
15,depressed_flt_pct,12.866663932800293,0.03281749644554503,0.007968220589223949
16,avg_posts_day,12.667102813720703,0.03230849921438489,0.007844634007172568
17,E_1,10.188131332397461,0.02598567628205178,0.006309427080128829
18,Sky,10.05106258392334,0.02563607103943892,0.0062245415162068265
19,participate,9.8994140625,0.025249278873359593,0.0061306268171798005
20,H_2,8.050569534301758,0.020533647140891856,0.004985652400127703
21,HAPPY,7.383941173553467,0.01883335606516192,0.004572814864522692
22,happy_to_depressed_flt_ratio,7.107404708862305,0.018128026813192356,0.004401558075417783
23,Cloud,6.250001907348633,0.01594114966010646,0.0038705754763570313
24,ratio_male,6.181451797485352,0.015766306903776665,0.003828122949450371
25,LON,5.982020378112793,0.015257640482506073,0.0037046166893753302
26,avg_posts_whole_date,5.908200263977051,0.015069356141987652,0.0036589004915770977
27,Pet,5.729628562927246,0.01461389416714446,0.0035483124858291214
28,E_3,5.717192649841309,0.014582175336558197,0.0035406110257447747
29,H_3,5.7092604637146,0.014561943636143992,0.0035356986872285513
30,avg_posts_late_night,5.396821975708008,0.013765043287836206,0.003342208066349461
31,N_3,5.388493537902832,0.013743800914560912,0.003337050332383464
32,Laptop,5.347002983093262,0.01363797580386414,0.0033113555683934644
33,user_follows,5.2264838218688965,0.01333058165991529,0.003236719029592145
34,P_1,5.083324432373047,0.012965441730834705,0.00314806158109739
35,avg_posts_night,4.883331775665283,0.01245534382706411,0.0030242077512938497
36,index,4.661975383758545,0.01189075593990562,0.0028871235336007774
37,Tree,4.55042028427124,0.011606225380933425,0.0028180383655097966
38,P_2,4.490207672119141,0.01145264810592268,0.0027807491832954217
39,E_2,4.042591094970703,0.010310964798869922,0.0025035438684803115
40,avg_posts_early_day,3.4240760803222656,0.008733390813821906,0.0021205025377821524
41,avg_number_of_faces_over_all_images,3.357238531112671,0.008562916085868283,0.0020791105857946995
42,Performer,2.8573834896087646,0.007287994230947958,0.001769554413803195
43,age,2.8240725994110107,0.00720303203512376,0.0017489252497475086
44,born,2.7555551528930664,0.007028272589372767,0.0017064929509856249
45,user_followed_by,2.7407379150390625,0.006990479991917342,0.0016973167557915684
46,imagecount,2.636507272720337,0.006724631070108501,0.00163276756460341
47,SURPRISED,2.6269633769989014,0.0067002885703315055,0.001626857107410611
48,Book,2.3978819847106934,0.006115997427233111,0.0014849888596524903
49,R_3,2.361112594604492,0.0060222140397585226,0.0014622178746615366
50,avg_comments,2.1962950229644775,0.005601833115867993,0.0013601476896728758
51,H_1,2.194446086883545,0.005597117250622662,0.001359002658557958
52,N_2,2.168252944946289,0.005530309463700348,0.0013427814582553023
53,Musical Instrument,1.8481459617614746,0.004713849980672919,0.0011445418005251208
54,R_1,1.7453655004501343,0.004451699866130967,0.0010808906946698428
55,Canine,1.6851848363876343,0.0042982040773797804,0.0010436212976481694
56,avg_likes,1.6623420715332031,0.004239941705848828,0.001029474958692049
57,ratio_female,1.5009254217147827,0.003828235115909558,0.0009295109369965853
58,Plant,1.444445013999939,0.0036841771387131792,0.0008945330787116652
59,avg_posts_late_day,1.3240728378295898,0.0033771578923689396,0.0008199875665618411
60,Coast,1.198147177696228,0.0030559740233090985,0.0007420028268478933
61,Light,1.1555497646331787,0.0029473257785824804,0.000715622594521207
62,Sunrise,1.055554986000061,0.002692280779388878,0.0006536966393489335
63,user_id,1.009252667427063,0.0025741828650323673,0.0006250219890970035
64,Sea Life,0.9629625082015991,0.0024561159641030015,0.0005963548690303555
65,TV,0.8888891935348511,0.0022671858145722613,0.0005504818661974302
66,Selfie,0.8888888955116272,0.002267185054439243,0.0005504816816340654
67,employed,0.8481423854827881,0.0021632576918358764,0.0005252476985405043
68,Crowd,0.8333331346511841,0.0021254854659453403,0.000516076449644623
69,City,0.8333284258842468,0.0021254734558436516,0.00051607353354346
70,user_posted_photos,0.740738570690155,0.0018893153297283357,0.0004587333873824918
71,level_0,0.7277758121490479,0.0018562527359923806,0.00045070565618193743
72,Cat,0.6259260177612305,0.0015964763648398748,0.0003876309048021053
73,SAD,0.6111106276512146,0.001558688480209162,0.0003784558539009102
74,Outdoors,0.611108660697937,0.0015586834633312416,0.00037845463578270287
75,start_q,0.5925922989845276,0.0015114559428264771,0.00036698760319267884
76,Beach,0.49999862909317017,0.0012752880870085274,0.0003096450946206419
77,Sunset,0.4629620909690857,0.0011808233162963646,0.00028670866702952514
78,Collage,0.4537019729614258,0.0011572046151793636,0.00028097395107264225
79,Coffee Cup,0.4444442391395569,0.0011335919951265087,0.0002752407116226774
80,Sketch,0.43703678250312805,0.001114698660917567,0.00027065333382277166
81,Pool,0.4111029803752899,0.001048552341747749,0.00025459274056012276
82,Woman,0.3916669487953186,0.000998979126761913,0.00024255616388281243
83,insta_user_id,0.3333301544189453,0.0008501862809947461,0.0002064286603988558
84,education,0.30555373430252075,0.0007793402113995843,0.00018922694876462193
85,percentage_animals,0.2777775526046753,0.000708494749910837,0.00017202538478107982
86,end_q,0.25,0.0006376457918102058,0.00015482297180605988
87,R_2,0.2499997615814209,0.0006376451837037912,0.00015482282415536807
88,Beer Bottle,0.22222226858139038,0.0005667963776297635,0.00013762044809302108
89,Person,0.18886461853981018,0.0004817149169349989,0.00011696232604540513
90,Cafeteria,0.16666682064533234,0.0004250975872755299,0.0001032154098951117
91,Child,0.1666666716337204,0.0004250972072090208,0.00010321531761342932
92,Alcohol,0.1666664481163025,0.0004250966371092571,0.00010321517919090576
93,avg_number_of_faces_over_images_with_faces,0.1666642278432846,0.000425090974118271,0.00010321380419383837
94,Toy,0.1333334594964981,0.0003400780774217541,8.257232976172301e-05
95,ANGRY,0.12962974607944489,0.0003306314483239342,8.027865008993839e-05
96,M_1,0.11111052334308624,0.0002833966305421943,6.880984569161279e-05
97,Sunlight,0.0740741416811943,0.00018893225889986604,4.587351499626252e-05
98,Drawing,0.0740741416811943,0.00018893225889986604,4.587351499626252e-05
99,Pizza,0.0740741416811943,0.00018893225889986604,4.587351499626252e-05
100,Food,0.07407393306493759,0.00018893172680675325,4.58733858019072e-05
101,Cocktail,0.07407139241695404,0.0001889252466727725,4.587181239922269e-05
102,Club,0.07407117635011673,0.00018892469557633425,4.5871678590783244e-05
103,Dusk,0.05555560812354088,0.00014169919892573088,3.440513740071792e-05
104,avg_posts_early_night,0.05555523931980133,0.00014169825826112077,3.440490900355404e-05
105,Sport,0.0,0.0,0.0
106,Bikini,0.0,0.0,0.0
107,Swimwear,0.0,0.0,0.0
108,Beard,0.0,0.0,0.0
109,Downtown,0.0,0.0,0.0
110,Festival,0.0,0.0,0.0
111,Money,0.0,0.0,0.0
112,Airplane,0.0,0.0,0.0
113,Sandwich,0.0,0.0,0.0
114,Breakfast,0.0,0.0,0.0
115,CALM,0.0,0.0,0.0
116,CONFUSED,0.0,0.0,0.0
117,DISGUSTED,0.0,0.0,0.0
118,gender,0.0,0.0,0.0
119,P_3,0.0,0.0,0.0
