,State,1,2,3,4,5
AL,Alabama,Management professional and related occupations,Sales and office occupations,Production transportation and material moving occupations,Service occupations,Construction extraction maintenance and repair occupations
AK,Alaska,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
AZ,Arizona,Management professional and related occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations,Production transportation and material moving occupations
AR,Arkansas,Management professional and related occupations,Sales and office occupations,Production transportation and material moving occupations,Service occupations,Construction extraction maintenance and repair occupations
CA,California,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
CO,Colorado,Management professional and related occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations,Production transportation and material moving occupations
CT,Connecticut,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
DE,Delaware,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
DC,District of Columbia,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
FL,Florida,Management professional and related occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations,Production transportation and material moving occupations
GA,Georgia,Management professional and related occupations,Sales and office occupations,Production transportation and material moving occupations,Service occupations,Construction extraction maintenance and repair occupations
HI,Hawaii,Management professional and related occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations,Production transportation and material moving occupations
ID,Idaho,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
IL,Illinois,Management professional and related occupations,Sales and office occupations,Production transportation and material moving occupations,Service occupations,Construction extraction maintenance and repair occupations
IN,Indiana,Management professional and related occupations,Production transportation and material moving occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations
IA,Iowa,Management professional and related occupations,Sales and office occupations,Production transportation and material moving occupations,Service occupations,Construction extraction maintenance and repair occupations
KS,Kansas,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
KY,Kentucky,Management professional and related occupations,Sales and office occupations,Production transportation and material moving occupations,Service occupations,Construction extraction maintenance and repair occupations
LA,Louisiana,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
ME,Maine,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
MD,Maryland,Management professional and related occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations,Production transportation and material moving occupations
MA,Massachusetts,Management professional and related occupations,Sales and office occupations,Service occupations,Construction extraction maintenance and repair occupations,Production transportation and material moving occupations
MI,Michigan,Management professional and related occupations,Sales and office occupations,Service occupations,Production transportation and material moving occupations,Construction extraction maintenance and repair occupations
