,State,1,2,3,4,5
AK,Alaska,Health Care and Social Assistance,"Mining, Quarrying, and Oil and Gas Extraction",Construction,"Professional, Scientific, and Technical Services",Transportation and Warehousing
AL,Alabama,Manufacturing,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Retail Trade,Finance and Insurance
AR,Arkansas,Health Care and Social Assistance,Manufacturing,Management of Companies and Enterprises,Retail Trade,Wholesale Trade
AZ,Arizona,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Finance and Insurance,Retail Trade,Administrative and Support and Waste Management and Remediation Services
CA,California,"Professional, Scientific, and Technical Services",Health Care and Social Assistance,Information,Manufacturing,Wholesale Trade
CO,Colorado,"Professional, Scientific, and Technical Services",Health Care and Social Assistance,Administrative and Support and Waste Management and Remediation Services,Finance and Insurance,Construction
CT,Connecticut,Finance and Insurance,Health Care and Social Assistance,Manufacturing,"Professional, Scientific, and Technical Services",Wholesale Trade
DC,District of Columbia,"Professional, Scientific, and Technical Services",Other Services (except Public Administration),Health Care and Social Assistance,Finance and Insurance,Information
DE,Delaware,Finance and Insurance,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Manufacturing,Retail Trade
FL,Florida,Administrative and Support and Waste Management and Remediation Services,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Retail Trade,Finance and Insurance
GA,Georgia,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Manufacturing,Finance and Insurance,Administrative and Support and Waste Management and Remediation Services
HI,Hawaii,Health Care and Social Assistance,Accommodation and Food Services,Construction,Retail Trade,Administrative and Support and Waste Management and Remediation Services
IA,Iowa,Manufacturing,Health Care and Social Assistance,Finance and Insurance,Retail Trade,Construction
ID,Idaho,Health Care and Social Assistance,Manufacturing,Retail Trade,Wholesale Trade,"Professional, Scientific, and Technical Services"
IL,Illinois,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Finance and Insurance,Manufacturing,Management of Companies and Enterprises
IN,Indiana,Manufacturing,Health Care and Social Assistance,Wholesale Trade,Retail Trade,"Professional, Scientific, and Technical Services"
KS,Kansas,Manufacturing,Health Care and Social Assistance,Finance and Insurance,"Professional, Scientific, and Technical Services",Wholesale Trade
KY,Kentucky,Manufacturing,Health Care and Social Assistance,Retail Trade,Finance and Insurance,Transportation and Warehousing
LA,Louisiana,Health Care and Social Assistance,Manufacturing,Construction,"Professional, Scientific, and Technical Services",Retail Trade
MA,Massachusetts,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Finance and Insurance,Manufacturing,Information
MD,Maryland,"Professional, Scientific, and Technical Services",Health Care and Social Assistance,Finance and Insurance,Construction,Administrative and Support and Waste Management and Remediation Services
ME,Maine,Health Care and Social Assistance,Manufacturing,Retail Trade,Finance and Insurance,"Professional, Scientific, and Technical Services"
MI,Michigan,Manufacturing,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Retail Trade
MN,Minnesota,Health Care and Social Assistance,Manufacturing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Finance and Insurance
MO,Missouri,Health Care and Social Assistance,Manufacturing,"Professional, Scientific, and Technical Services",Finance and Insurance,Management of Companies and Enterprises
MS,Mississippi,Health Care and Social Assistance,Manufacturing,Retail Trade,Construction,Accommodation and Food Services
MT,Montana,Health Care and Social Assistance,Retail Trade,Construction,"Professional, Scientific, and Technical Services",Finance and Insurance
NC,North Carolina,Health Care and Social Assistance,Manufacturing,Finance and Insurance,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services
ND,North Dakota,Health Care and Social Assistance,"Mining, Quarrying, and Oil and Gas Extraction",Construction,Retail Trade,Wholesale Trade
NE,Nebraska,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Finance and Insurance,Manufacturing,Retail Trade
NH,New Hampshire,Health Care and Social Assistance,Manufacturing,Retail Trade,Administrative and Support and Waste Management and Remediation Services,Finance and Insurance
NJ,New Jersey,"Professional, Scientific, and Technical Services",Health Care and Social Assistance,Wholesale Trade,Finance and Insurance,Management of Companies and Enterprises
NM,New Mexico,Health Care and Social Assistance,Retail Trade,"Mining, Quarrying, and Oil and Gas Extraction",Construction,Accommodation and Food Services
NV,Nevada,Accommodation and Food Services,Health Care and Social Assistance,Retail Trade,Administrative and Support and Waste Management and Remediation Services,"Professional, Scientific, and Technical Services"
NY,New York,Finance and Insurance,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Information
OH,Ohio,Manufacturing,Health Care and Social Assistance,Finance and Insurance,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises
OK,Oklahoma,Health Care and Social Assistance,Manufacturing,Retail Trade,"Mining, Quarrying, and Oil and Gas Extraction","Professional, Scientific, and Technical Services"
OR,Oregon,Health Care and Social Assistance,Manufacturing,"Professional, Scientific, and Technical Services",Wholesale Trade,Retail Trade
PA,Pennsylvania,Health Care and Social Assistance,Manufacturing,"Professional, Scientific, and Technical Services",Finance and Insurance,Wholesale Trade
RI,Rhode Island,Health Care and Social Assistance,Manufacturing,Finance and Insurance,Wholesale Trade,"Professional, Scientific, and Technical Services"
SC,South Carolina,Manufacturing,Health Care and Social Assistance,Retail Trade,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services
SD,South Dakota,Health Care and Social Assistance,Manufacturing,Finance and Insurance,Retail Trade,Wholesale Trade
TN,Tennessee,Health Care and Social Assistance,Manufacturing,Management of Companies and Enterprises,Finance and Insurance,Retail Trade
TX,Texas,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Manufacturing,Management of Companies and Enterprises,Finance and Insurance
UT,Utah,Manufacturing,Health Care and Social Assistance,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Retail Trade
VA,Virginia,"Professional, Scientific, and Technical Services",Health Care and Social Assistance,Finance and Insurance,Manufacturing,Retail Trade
VT,Vermont,Health Care and Social Assistance,Manufacturing,Retail Trade,"Professional, Scientific, and Technical Services",Construction
WA,Washington,Health Care and Social Assistance,Information,Manufacturing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises
WI,Wisconsin,Manufacturing,Health Care and Social Assistance,Finance and Insurance,Retail Trade,Management of Companies and Enterprises
WV,West Virginia,Health Care and Social Assistance,Manufacturing,Retail Trade,"Mining, Quarrying, and Oil and Gas Extraction","Professional, Scientific, and Technical Services"
WY,Wyoming,"Mining, Quarrying, and Oil and Gas Extraction",Health Care and Social Assistance,Construction,Retail Trade,Manufacturing
